Address  Disassembly                                     String                                                                                                                                                                                                                                                                                   
772900C7 push ntdll.772900D5                             "[Pj"
772ED6E5 mov esi,ntdll.772E67FC                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\io.c"
772ED6F8 mov ebx,ntdll.772E6828                          "TppIopValidateIo"
772ED791 mov esi,ntdll.772E67FC                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\io.c"
772ED7A3 mov edi,ntdll.772E6828                          "TppIopValidateIo"
772ED853 mov ebx,ntdll.772EC2B8                          "FALSE"
772ED858 mov esi,ntdll.772DC908                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
772ED86A mov edi,ntdll.772E683C                          "TppWorkpValidateWork"
772ED8F5 mov esi,ntdll.772DC908                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
772ED907 mov edi,ntdll.772E683C                          "TppWorkpValidateWork"
772EDC6E mov esi,ntdll.772E482C                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\lpc.c"
772EDC80 mov edi,ntdll.772EDD10                          "TppAlpcpValidateAlpc"
772EE172 mov edi,ntdll.772EE1C8                          "TpCallbackMayRunLong"
772EE177 mov esi,ntdll.772C4E90                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\callback.c"
772F07AC mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772F07BE mov edi,ntdll.772D02F8                          "TppWaitpValidateWait"
772F0A71 mov edi,dword ptr ds:[7FFE03B0]                 "zu_"
772F0A9A mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
772F1934 mov esi,ntdll.772C4168                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\wait.c"
772F1946 mov edi,ntdll.772D02F8                          "TppWaitpValidateWait"
772F1CA6 mov edi,ntdll.772F1CDC                          "TppIopCallbackEpilog"
772F1CAB mov esi,ntdll.772E67FC                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\io.c"
772F31BD mov dword ptr ds:[eax],ntdll.7738020C           "0$W"
772F389E push ntdll.772A5B1A                             L"\\WindowsErrorReportingServicePort"
772F39DA mov dword ptr ss:[ebp-8],ntdll.772A5AD2         L"\\KernelObjects\\SystemErrorPortReady"
772F3CFD mov ebx,ntdll.772F3D6C                          "TppExceptionFilter"
772F3D02 mov edi,ntdll.772F3D40                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\tp.c"
772F451C mov ebx,ntdll.772A2D9C                          "LdrpRelocateImage"
772F4521 mov edi,ntdll.772A2C66                          "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772F4591 push ntdll.772A2D98                             "LDR"
772F51FD push ntdll.772F5270                             L"Time Zones\\"
772F522A push ntdll.772F5288                             L"\\Dynamic DST"
772F53B9 mov dword ptr ss:[ebp-88],ntdll.772F5488        L"FirstEntry"
772F53C9 mov dword ptr ss:[ebp-6C],ntdll.772F5470        L"LastEntry"
772F59AC mov eax,dword ptr ds:[773800C8]                 "0$W"
772F59C3 push dword ptr ds:[773800C8]                    "0$W"
772F5A25 push ntdll.772A28C4                             "CLIENT(ntdll): Found CheckAppHelp = %d for %wZ in ImageFileExecutionOptions\n"
772F5A65 push ntdll.772A28A6                             L"ExecuteOptions"
772F5AAB push ntdll.772A284C                             "CLIENT(ntdll): Found ExecuteOptions = %ws for %wZ in application compatibility database\n"
772F5ABF push ntdll.772A2838                             L"Execute=1"
772F5AD6 push ntdll.772A27D6                             "CLIENT(ntdll): Found Execute=1, turning off execution protection for the process because of %wZ\n"
772F6E68 push ntdll.772A9178                             L"TimeZoneInformation"
772F6FB0 mov dword ptr ss:[ebp-130],ntdll.772F6D78       L"Bias"
772F6FC6 mov dword ptr ss:[ebp-114],ntdll.772F6D84       L"StandardName"
772F6FD6 mov dword ptr ss:[ebp-F8],ntdll.772F6DA0        L"StandardBias"
772F6FE6 mov dword ptr ss:[ebp-DC],ntdll.772F6DBC        L"StandardStart"
772F6FF6 mov dword ptr ss:[ebp-C0],ntdll.772F6DD8        L"DaylightName"
772F7006 mov dword ptr ss:[ebp-A4],ntdll.772F6DF4        L"DaylightBias"
772F7016 mov dword ptr ss:[ebp-88],ntdll.772F7070        L"DaylightStart"
772F70CB push ntdll.772F71F0                             L"\\Registry\\Machine\\HARDWARE\\DESCRIPTION\\System\\CentralProcessor"
772F70D0 push ntdll.772F71DC                             L"%ws\\%u"
772F714F push ntdll.772F71D0                             L"~MHz"
772F7CB2 mov ebx,ntdll.772C5D84                          "TppTimerpUpdate"
772F7DB5 mov eax,dword ptr ds:[7FFE03B0]                 "zu_"
772F7DE4 mov edx,dword ptr ds:[7FFE03B0]                 "zu_"
772F83D6 mov ebx,ntdll.772F8474                          "TppWorkpExecuteCallback"
772F83DB mov edi,ntdll.772DC908                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
772F84A1 mov ebx,ntdll.772F852C                          "TpPostWork"
772F84A6 mov esi,ntdll.772DC908                          "d:\\w7rtm\\minkernel\\threadpool\\ntdll\\work.c"
772F84B8 mov edi,ntdll.772E683C                          "TppWorkpValidateWork"
772F9797 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
772F97E1 mov eax,dword ptr ds:[77386BF4]                 &L"(null)"
772F98B6 mov eax,dword ptr ds:[77386BF0]                 &"(null)"
772FA5A5 mov esi,ntdll.772A9F96                          "%d"
772FA6E2 mov eax,dword ptr ds:[773800C8]                 "0$W"
772FA6F9 push dword ptr ds:[773800C8]                    "0$W"
772FB750 lea ecx,dword ptr ds:[77386B30]                 "cos"
772FB7A5 lea ecx,dword ptr ds:[77386B30]                 "cos"
772FB81B lea ecx,dword ptr ds:[77386B40]                 "log"
772FB889 lea ecx,dword ptr ds:[77386B40]                 "log"
772FB92E lea ecx,dword ptr ds:[77386B50]                 "pow"
772FB94B lea ecx,dword ptr ds:[77386B50]                 "pow"
772FBB10 lea ecx,dword ptr ds:[77386B60]                 "sin"
772FBB65 lea ecx,dword ptr ds:[77386B60]                 "sin"
772FBBD0 lea ecx,dword ptr ds:[77386B70]                 "sqrt"
772FBC2F lea ecx,dword ptr ds:[77386B70]                 "sqrt"
772FBF2C lea ecx,dword ptr ds:[77386B80]                 "atan"
772FBF76 lea ecx,dword ptr ds:[77386B80]                 "atan"
772FC862 lea ecx,dword ptr ds:[77386B90]                 "tan"
772FC8B9 lea ecx,dword ptr ds:[77386B90]                 "tan"
772FD40F push ntdll.772A473C                             "DLL \"%wZ\" has TLS information at %p\n"
772FD416 push ntdll.772A472A                             "LdrpInitializeTls"
772FD420 push ntdll.772A4652                             "d:\\w7rtm\\minkernel\\ntdll\\ldrtls.c"
772FD58A push ntdll.772A8E70                             "HEAP[%wZ]: "
772FD597 push ntdll.772A8E68                             "HEAP: "
772FD5A2 push ntdll.772A90AA                             "!(Flags & ~HEAP_CREATE_VALID_MASK)"
772FD8D7 push ntdll.772A414A                             "Calling the Windows subsystem post-import routine %p failed with status 0x%08lx\n"
772FD8DE push ntdll.772A4130                             "LdrpRunInitializeRoutines"
772FD8E8 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
772FD919 push ntdll.772A4108                             "Calling init routine %p for DLL \"%wZ\"\n"
772FD920 push ntdll.772A4130                             "LdrpRunInitializeRoutines"
772FD92A push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
772FD94C push ntdll.772A40EA                             L"BreakOnDllLoad"
772FD993 push ntdll.772A40AA                             "Init routine %p for DLL \"%wZ\" failed during DLL_PROCESS_ATTACH\n"
772FD99A push ntdll.772A4130                             "LdrpRunInitializeRoutines"
772FD9A4 push ntdll.772A3FEE                             "d:\\w7rtm\\minkernel\\ntdll\\ldrsnap.c"
772FD9F4 mov eax,ntdll.772A2A2C                          L"NULL"
772FD9FD push ntdll.772A2A0E                             "DLL name: %wZ DLL path: %ws\n"
772FDA04 push ntdll.772A2BE2                             "LdrLoadDll"
772FDA4D push ntdll.772A2946                             "Status: 0x%08lx\n"
772FDA54 push ntdll.772A2BE2                             "LdrLoadDll"
772FDA95 push ntdll.772A46AC                             "LdrpAllocateTls"
772FDB16 push ntdll.772A4674                             "TlsVector %p Index %d : %d bytes copied from %p to %p\n"
772FDB1D push ntdll.772A46AC                             "LdrpAllocateTls"
772FDB27 push ntdll.772A4652                             "d:\\w7rtm\\minkernel\\ntdll\\ldrtls.c"
772FDB5F push ntdll.772A46D4                             "Calling TLS callback %p for DLL \"%wZ\" at %p\n"
772FDB66 push ntdll.772A46BC                             "LdrpCallTlsInitializers"
772FDB70 push ntdll.772A4652                             "d:\\w7rtm\\minkernel\\ntdll\\ldrtls.c"
772FDB9E push ntdll.772A46BC                             "LdrpCallTlsInitializers"
772FE07F push ntdll.772A8E70                             "HEAP[%wZ]: "
772FE08C push ntdll.772A8E68                             "HEAP: "
772FE097 push ntdll.772A8F00                             "((FreeBlock->Flags & HEAP_ENTRY_DECOMMITTED) || (ROUND_UP_TO_POWER2(FreeBlock, PAGE_SIZE) == (ULONG_PTR)FreeBlock))"
772FE167 push ntdll.772A8E70                             "HEAP[%wZ]: "
772FE174 push ntdll.772A8E68                             "HEAP: "
772FE17F push ntdll.772A8EBE                             "ROUND_UP_TO_POWER2(FreeBlock, PAGE_SIZE) == (ULONG_PTR)FreeBlock"
772FE2C4 mov ecx,dword ptr ds:[772FE5C4]                 &L"\\\\.\\"
772FE844 push ntdll.772A2684                             ".txt"
772FE85B push ntdll.772A267E                             ".txt2"
772FE8D3 push ntdll.772A278E                             "CLIENT(ntdll): Processing %ws for patching section protection for %wZ\n"
772FE91D push ntdll.772A275E                             "CLIENT(ntdll): Processing section info %ws...\n"
772FEF46 cmp dword ptr ds:[77380024],esi                 "x%W"
772FEFB7 mov esi,dword ptr ds:[77380024]                 "x%W"
772FEFF2 mov dword ptr ds:[77380024],eax                 "x%W"
772FF1CA mov eax,ntdll.772A2A2C                          L"NULL"
772FF1D1 push ntdll.772A2A0E                             "DLL name: %wZ DLL path: %ws\n"
772FF1D8 push ntdll.772A29FC                             "LdrGetDllHandleEx"
772FF1E2 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF215 push ntdll.772A29AE                             "DLL name %wZ was redirected to %wZ by SxS\n"
772FF21C push ntdll.772A29FC                             "LdrGetDllHandleEx"
772FF226 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF292 push ntdll.772A2990                             "Locating DLL %wZ in path %wZ\n"
772FF299 push ntdll.772A29FC                             "LdrGetDllHandleEx"
772FF2A3 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF324 push ntdll.772A2958                             "SxS redirection of DLL %wZ failed with status 0x%08lx\n"
772FF32B push ntdll.772A29FC                             "LdrGetDllHandleEx"
772FF335 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF35A push ntdll.772A2946                             "Status: 0x%08lx\n"
772FF361 push ntdll.772A29FC                             "LdrGetDllHandleEx"
772FF36B push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF3FE push ntdll.772A2A56                             "LdrReadMemory"
772FF546 push ntdll.772A2A64                             "LdrLockLoaderLock"
772FF59D push ntdll.772A2A76                             "LdrUnlockLoaderLock"
772FF612 push ntdll.772A2AC6                             "Unmapping DLL \"%wZ\"\n"
772FF619 push ntdll.772A2AB8                             "LdrpUnloadDll"
772FF623 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF657 push ntdll.772A2A8A                             "Uninitializing DLL \"%wZ\" (Init routine: %p)\n"
772FF65E push ntdll.772A2AB8                             "LdrpUnloadDll"
772FF668 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF68D push ntdll.772A2AB8                             "LdrpUnloadDll"
772FF6CC push ntdll.772A2B1A                             "Locating procedure \"%Z\" by name\n"
772FF6D3 push ntdll.772A2B00                             "LdrGetProcedureAddressEx"
772FF6DD push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF700 push ntdll.772A2ADC                             "Loading procedure 0x%lx by ordinal\n"
772FF707 push ntdll.772A2B00                             "LdrGetProcedureAddressEx"
772FF711 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF766 push ntdll.772A2B00                             "LdrGetProcedureAddressEx"
772FF7A5 push ntdll.772A2BC4                             "DLL name: %wZ DLL path: %wZ\n"
772FF7AC push ntdll.772A2BB8                             "LdrpLoadDll"
772FF7B6 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF7D5 push ntdll.772A2B92                             "DLL %wZ was redirected to %wZ by SxS\n"
772FF7DC push ntdll.772A2BB8                             "LdrpLoadDll"
772FF7E6 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF852 push ntdll.772A2B72                             "Loading DLL %wZ from path %wZ\n"
772FF859 push ntdll.772A2BB8                             "LdrpLoadDll"
772FF863 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF8C8 push ntdll.772A2B3C                             "Could not validate the crypto signature for DLL %wZ\n"
772FF8CE push ntdll.772A2BB8                             "LdrpLoadDll"
772FF8D8 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF94F push ntdll.772A2BB8                             "LdrpLoadDll"
772FF99F push ntdll.772A2958                             "SxS redirection of DLL %wZ failed with status 0x%08lx\n"
772FF9A5 push ntdll.772A2BB8                             "LdrpLoadDll"
772FF9AF push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FF9D4 push ntdll.772A2946                             "Status: 0x%08lx\n"
772FF9DB push ntdll.772A2BB8                             "LdrpLoadDll"
772FF9E5 push ntdll.772A29DA                             "d:\\w7rtm\\minkernel\\ntdll\\ldrapi.c"
772FFA05 push ntdll.772FFA58                             L"COMPLUS_Version"
772FFBBB push ntdll.772A2946                             "Status: 0x%08lx\n"
772FFBC2 push ntdll.772A2C8A                             "LdrpFindKnownDll"
772FFBCC push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFBE7 push ntdll.772A2C9C                             "DLL name: %wZ\n"
772FFBEE push ntdll.772A2CAC                             "LdrpResolveFileName"
772FFC0D push ntdll.772A2946                             "Status: 0x%08lx\n"
772FFC14 push ntdll.772A2CAC                             "LdrpResolveFileName"
772FFC33 push ntdll.772A2C9C                             "DLL name: %wZ\n"
772FFC3A push ntdll.772A2CC0                             "LdrpResolveDllName"
772FFC44 push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFD3B push ntdll.772A2946                             "Status: 0x%08lx\n"
772FFD42 push ntdll.772A2CC0                             "LdrpResolveDllName"
772FFD4C push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFD65 push ntdll.772A2CEA                             "DLL name: %ws\n"
772FFD6C push ntdll.772A2CD4                             "LdrpMapViewOfSection"
772FFD76 push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFE0B push ntdll.772A2946                             "Status: 0x%08lx\n"
772FFE12 push ntdll.772A2CD4                             "LdrpMapViewOfSection"
772FFE1C push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFE3B push ntdll.772A2C9C                             "DLL name: %wZ\n"
772FFE96 push ntdll.772A2946                             "Status: 0x%08lx\n"
772FFEBB push ntdll.772A2BC4                             "DLL name: %wZ DLL path: %wZ\n"
772FFEC2 push ntdll.772A2DAE                             "LdrpSearchPath"
772FFECC push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFF33 push ntdll.772A2946                             "Status: 0x%08lx\n"
772FFF3A push ntdll.772A2DAE                             "LdrpSearchPath"
772FFF44 push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
772FFF60 push ntdll.772A2BC4                             "DLL name: %wZ DLL path: %wZ\n"
772FFF67 push ntdll.772A2DBE                             "LdrpFindOrMapDll"
772FFF71 push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
7730009F push ntdll.772A2DBE                             "LdrpFindOrMapDll"
773001B2 push ntdll.772A2946                             "Status: 0x%08lx\n"
773001B9 push ntdll.772A2DBE                             "LdrpFindOrMapDll"
773001C3 push ntdll.772A2C66                             "d:\\w7rtm\\minkernel\\ntdll\\ldrfind.c"
